Publication Type,Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Hallier, PA; Malone, EA","Hallier, Patricia A.; Malone, Edward A.",,,Light's Technical Writing and Professional Status: Fifty Years Later,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: To present a significant historical document in the decades-long movement to professionalize technical communication Method: Historical analysis and textual editing Results: Light's 1961 article applied then-current definitions of a profession to technical writing and suggested that technical writers could become professionals only through formal education and training. Conclusions: On the 50th anniversary of its publication, Light's article illustrates the tenor of discussions about professionalization in the early years of our profession and invites comparison with current professionalization discussions.",,,,,,,,,,,12,0,0,,,,,,,,,,,FEB,2012,59,1,,,,,29,31,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Killoran, JB","Killoran, John B.",,,"Promoting the Business Web Sites of Technical Communication Companies, Consultants, and Independent Contractors",TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This article explores how marketing communication in traditional media and new media leads people to the Web sites of technical communication companies, consultants, and independent contractors, and to what extent these Web sites then contribute to recruiting clientele. Method: The study surveyed an international sample of 240 technical communicators who maintain Web sites to market their services, and then interviewed half of these survey respondents. Results: Aside from drawing in a moderate portion of clientele directly, these Web sites also helped recruit clientele who originated through such traditional marketing communication as referrals and networking. Yet such traditional communication tended not to be as useful in leading people to these sites as new-media communication, such as search engines and e-mail. Marketing communication's usefulness in leading people to a Web site is associated with that Web site's levels of success in recruiting clientele. Conclusion: A Web site's efficacy may thereby depend in part on the support of other communication, especially communication sharing a similar medium.",,,,,,,,,,,33,5,5,,,,,,,,,,,MAY,2010,57,2,,,,,137,160,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Ballentine, BD","Ballentine, Brian D.",,,Requirements Specifications and Anticipating User Needs: Methods and Warnings on Writing Development Narratives for New Software,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This article studies and determines the benefits for technical communicators using narrative to compose and edit software requirements specifications. Specifically, this article is an examination of requirements specifications written for a Web-based radiology application serving the medical industry. Method: The study adheres to the usability principle that successful design accommodates complex problem solving. Requirements specifications, the application, and the application's code are examined as part of the study. Results: The first determination is that composing detailed narratives within the requirements specifications can ensure flexible spaces for users, in this case doctors, to view, study, and manipulate data as they see fit. The article also acknowledges and accounts for the reality of low-level or code-level procedural programming required for creating such flexible spaces. The second determination is that employing narratological structures within requirements specifications also leads to technical inventions at the code level. Practitioners will have a better understanding of how their work facilitates the development of a software application's functionality, design, and even code. Conclusion: Ultimately, narrative is the suggested method for developing the flexible affordances desired by usability specialists and it simultaneously helps negotiate low-level code.",,,,,,,,,,,29,3,3,,,,,,,,,,,FEB,2010,57,1,,,,,26,43,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Jones, SL","Jones, Scott L.",,,How we collaborate: Reported frequency of technical communicators' collaborative writing activities,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Reports the results of a survey of STC members' collaborative writing practices Found that respondents' collaboration in writing consists of many different activities, with using genres and templates employed most often, and group or team writing used least often.",,,,,,,,,,,9,10,10,,,,,,,,,,,AUG,2007,54,3,,,,,283,294,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Hutto, D","Hutto, David",,,Graphics and invention in engineering writing,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Reports on the use of graphics by engineers as a method of stimulating the writing process. Shows that graphics have a powerful function in stimulating writing ideas. Describes patterns in graphics types based on the genre, and the most common types used.",,,,,,,,,,,11,2,2,,,,,,,,,,,FEB,2007,54,1,,,,,88,98,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Turns, J; Ramey, J","Turns, Jennifer; Ramey, Judith",,,Active and collaborative learning in the practice of research: Credit-based directed research groups,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Describes credit-based directed research groups, discusses rationale, presents examples, and reviews the impacts thus far. Helps academics interested in directed research groups understand how to implement and support them.",,,,,,,,,,,30,5,5,,,,,,,,,,,AUG,2006,53,3,,,,,296,307,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Slattery, S","Slattery, S",,,Technical writing as textual coordination: An argument for the value of writers' skill with information technology,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Argues that skill with information technologies is a core competency of technical communication Concludes that writers learn and implement many other core competencies through information technologies,,,,,,,,,,,30,18,18,,,,,,,,,,,AUG,2005,52,3,,,,,353,360,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Meloncon, L","Meloncon, Lisa",,,Embodied Personas for a Mobile World,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Personas have long been an important tool for technical communicators to use to understand audiences. However, a recent critique of personas questioned their usefulness as a tool for audience analysis. This article takes that question as the starting point to offer a re-conceptualization of persona creation. Method: A comprehensive review of the literature with a case study as an extended example provides insights into the necessity of updating update how technical communicators create personas. Results: The literature review exposes major gaps in the research about persona development that, when compared to the case study, shows the need for technical communicators to update the dimensions of how personas are created and to reclaim the emphasis on goals and purposes of the user's practice. Conclusion: Technical communicators need to re-conceptualize the creation of personas by incorporating additional dimensions that create embodied personas for a mobile world and that reclaim and refocus the persona's emphasis on goals and purposes rather than simply a focus on audience. These changes allow technical communicators to meet the needs of users of complex information systems and, thereby, to contribute more meaningfully to user experience projects.",,,,,,,,,,,74,8,9,,,,,,,,,,,FEB,2017,64,1,,,,,50,65,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Virtaluoto, J","Virtaluoto, Jenni",,,Death of the Technical Communicator - Current Issues and Future Visions for our Field,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: The aim of this paper is to explore the current state of technical communication in Finland, with a look into the future of the field as practitioners see it. This article is part of a larger study investigating technical communication through activity theory. Method: The study utilizes autoethnographic interview data to explore and analyze some of the issues technical communicators are currently facing, and how these issues affect their expectations for the future. The literature of the field is used to further illustrate the points made. Results: User-centeredness is widely recognized as one of the main quality factors in technical communication, but the current work processes of the field do not allow technical communicators access to users or user data. The interviewees are not satisfied with their current work conditions and fear for the future of the field. Conclusion: It is discovered that while we are currently facing serious problems, there is still a need for user advocates in the product development process. A new model for technical communication is needed in order for the field to survive.",,,,,,,,,,,25,4,4,,,,,,,,,,,FEB,2014,61,1,,,,,38,47,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Vitas, B","Vitas, Bob",,,Community-Driven Information Quality Standards: How IBM Developed and Implemented Standards for Information Quality,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Standards for information quality can help content developers within a company or enterprise create high-quality, high-value content, as well as an excellent user experience for its clients. This article explains how the content development community at IBM created meaningful standards, as well as the metrics to track their impact, as part of a closed-loop information quality process. Method: Instead of having one group dictate what the standards will be, the content developers at IBM worked together as a community to identify key requirements from internal and external sources, tested the standards with a set of key products, and then put the standards to use in increasingly larger numbers of products. Results: A community-driven approach to information quality standards allowed the IBM content developers to create standards that were meaningful to a variety of teams, ensuring that key aspects of information quality were addressed throughout the corporation. The use of metrics to track implementation and compliance allowed the IBM community to see when the standards were working, and when the standards needed to be updated to meet the changing needs of their clients. Conclusions: Implementing information quality standards is an admirable goal, but it should not be the end of a company's information quality journey. This should be considered a closed loop or wheel, with continual analysis of compliance data, client feedback, and other metrics driving continual improvements in information quality.",,,,,,,,,,,6,4,5,,,,,,,,,,,NOV,2013,60,4,,,,,307,315,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Cleary, Y","Cleary, Yvonne",,,Discussions About the Technical Communication Profession: Perspectives from the Blogosphere,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: To examine how blogs reflect practitioner views of professionalization topics (such as education, professional societies, and value and status). Methods: Content analysis of 10 practitioner blogs, focusing on professional topics of status, education, professional societies, and the effects of technology. Results: Although the bloggers under study appear to function as an effective community of practice, they are not currently directing their actions or attention toward the traditional goals of professionalization, such as licensing and accreditation. Conclusions: The latent themes that emerge show that many of the goals of professionalizing (such as standardizing routes into the field and increasing respect for the work) are also concerns of practitioners.",,,,,,,,,,,64,1,1,,,,,,,,,,,NOV,2011,58,4,,,,,31,51,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Meloncon, L; Haynes, E; Varelmann, M; Groh, L","Meloncon, Lisa; Haynes, Erin; Varelmann, Megan; Groh, Lisa",,,Building a Playground: General Guidelines for Creating Educational Web Sites for Children,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Since 2004, the number of children online has increased 18%, compared with a 10% increase in total users. Not only do children represent a growing segment of Internet users, much of what they do online has a specific purpose: education. To help technical communicators create educational Web sites for children, we offer a set of guidelines to direct the design process. Method: Nine children participated in a usability test of the CARES Playground, an educational Web site geared toward 7- to 9-year-olds. The site was designed by a group of graduate students in professional writing based on a review of the (admittedly limited) literature dealing with designing Web sites for children. This paper matches common themes from existing literature to the results of the usability tests. Results: Since all the information on designing Web sites for children emerged from the literature of designing Web sites for adults, the themes of navigation, appearance, and content are not unfamiliar. However, the interpretation of those common issues for children-as well as the children's reaction to them-may be surprising. Conclusion: Technical communicators need to be conscious and deliberate when designing Web sites for children. To ensure that educational Web sites are able to meet their learning goals, careful consideration of children's developmental abilities and Web preferences must be considered. We present several guidelines as a starting point, though further research is needed to confirm and expand upon them.",,,,,,,,,,,57,7,7,,,,,,,,,,,NOV,2010,57,4,,,,,398,415,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Zimmerman, BB; Paul, D; Pritchard, KC","Zimmerman, Beverly B.; Paul, Danette; Pritchard, Katherine Cook",,,Mentoring in Technical Communication: Challenges from the Teacher's Perspective,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Reports on an online survey of 158 technical communication teachers who were asked about their experiences with mentoring Finds a divergence between the academic mentor's experiences in mentoring and previously reported research on the protegee's mentoring experiences Argues that risks are inherent in mentoring and proposes a new model that acknowledges them.,,,,,,,,,,,37,0,0,,,,,,,,,,,AUG,2009,56,3,,,,,248,264,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Markel, M","Markel, Mike",,,Exploiting Verbal-Visual Synergy in Presentation Slides,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Describes the most challenging aspect of creating slides for an oral presentation Presents two principles for creating Informative and persuasive graphics Explains how to use drawing tools to communicate the schema of the slide and to emphasize important portions of the images,,,,,,,,,,,30,4,4,,,,,,,,,,,MAY,2009,56,2,,,,,122,131,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Donker-Kuijer, MW; De Jong, M; Lentz, L","Donker-Kuijer, Marieke Welle; De Jong, Menno; Lentz, Leo",,,Heuristic Web Site Evaluation: Exploring the Effects of Guidelines on Experts Detection of Usability Problems,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Questions the contribution of heuristics to problem detection Shows that heuristics provide more focus to expert evaluation,,,,,,,,,,,25,11,11,,,,,,,,,,,NOV,2008,55,4,,,,,392,404,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Harner, S; Rich, A","Harner, S; Rich, A",,,Trends in undergraduate curriculum in scientific and technical communication programs,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Reports the current state of curriculum in 80 bachelor degree programs Answers questions about requirements, program location, degrees, internships, and portfolios Describes two newly revised programs to suggest curricular trends.",,,,,,,,,,,16,20,20,,,,,,,,,,,MAY,2005,52,2,,,,,209,220,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Harlow, RM","Harlow, Rachel Martin",,,Snowpocalypse 2021: Understanding Stakeholder Topoi in the 2021 Texas Power Grid Failure,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This research is the first step in exploring how public policymakers use the expert knowledge and nonexpert knowledge they acquire in oversight hearings. This step is focused on learning what the testimony in oversight hearings reveals about how the primary stakeholders of the February 2021 power loss event understood that event. Method: The researcher used NVivo, a content analysis application, to examine public comments, witness testimony, and a combination of legislators' press releases and the text of bills they drafted. All texts were generated in February and March 2021. The researcher ran both a word frequency analysis and a thematic analysis of each set of texts to identify topoi used by each stakeholder group and compared the results. Results: The analysis revealed that the three primary stakeholder groups perceived the February 2021 power loss event differently, though some of the most salient, significant, or urgent concerns of each group overlapped. The stakeholder groups shared some topoi, but the ways each group used those topoi suggested different ways of understanding and interpreting the event. Conclusions: Technical communicators who are tasked with reconciling technical and nontechnical audiences in situations like this can use the techniques discussed here to better identify specific places where the respective groups' use of topoi diverged from one another or aligned with one another. The more that is known, and not just surmised, about stakeholders and how they understand and interpret their technical knowledge, the better we can address how that knowledge may be communicated throughout the legislative process.",,,,,,,,,,,63,0,0,,,,,,,,,,,FEB,2022,69,1,,,,,73,87,,10.55177/tc350749,http://dx.doi.org/10.55177/tc350749,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Malone, EA","Malone, Edward A.",,,Don't Be a Dilbert: Transmedia Storytelling as Technical Communication during and after World War II,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: My goal was to determine whether the U.S. Navy's Don't Be a Dilbert aviation safety campaign during World War II was a fully developed example of transmedia storytelling and whether it could be used as an illustration of transmedia storytelling in technical communication. Method: I located and gathered primary sources in the Navy's safety campaign from archives, museums, and military and civilian publications, and then analyzed these artifacts according to the definition and attributes of transmedia storytelling in Jenkins (2007, 2011). Results: From my analysis, I found that the Navy's use of the Dilbert myth combined multimodality with radical intertextuality in order to foster additive comprehension; it also employed a robust set of transmedia storytelling techniques. Conclusion: These findings suggest that transmedia storytelling was used to communicate technical information before the digital age and that the Navy's Dilbert campaign is a potentially useful historical example for illustrating transmedia storytelling techniques.",,,,,,,,,,,61,3,3,,,,,,,,,,,AUG,2019,66,3,,,,,209,229,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Jones, NN; Williams, MF","Jones, Natasha N.; Williams, Miriam F.",,,Technologies of Disenfranchisement: Literacy Tests and Black Voters in the US from 1890 to 1965,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Largely due to the latest presidential election in the U.S., voting interference and voting technologies have come to the fore of national debates. However, deploying technologies (broadly defined) as a way of interfering with voter rights is not a new phenomenon. Methods: In this study, we identified and located historical literacy tests (along with other related texts) that were used to disenfranchise black voters in the U.S. from 1890-1965. We conducted a critical rhetorical analysis of the documents using McCornack's (1992) deceptive messaging criteria. Results: We found that even though the rhetorical and technical style and tone of the documents appeared to be objective and neutral, the literacy tests served as a technology of disenfranchisement, a way to oppress and marginalize, black voters. Conclusion: We argue that texts and technologies are not always designed with goodwill in mind and texts and technologies that are complicit in supporting and promoting oppressive practices have social, cultural, embodied, and material impacts on communities. We assert that technical communicators can look for possibilities and opportunities for resisting discrimination through texts.",,,,,,,,,,,38,29,29,,,,,,,,,,,NOV,2018,65,4,,,,,371,386,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Schreiber, J","Schreiber, Joanna",,,Toward a Critical Alignment with Efficiency Philosophies,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Research has indicated technical and professional communicators (TPCs) continue to struggle with establishing value in the workplace. Studies advocate for more effective communication with management, but scholarship has yet to adequately address the relationship between establishing and explaining value and management philosophy. This article takes up the two issues of workplace value and speaking the language of business as they relate to management efficiency philosophy, specifically Lean and Six Sigma. I argue that management philosophy, particularly efficiency philosophies, is an integral, yet often overlooked, aspect of organizational context that affects both organizational structures and cultures. Method: I share the results of an ethnographic study of a series of trainings that were part of a Lean initiative. I buttress these observations with two documents, one internal and one customer-facing, from Lean Six Sigma initiatives. Results: The trainings illustrate the work of creating an organizational culture and the importance of communication in developing a sustainable Lean culture. The two documents are examples of how processes and workflow (e.g., organizational structures) are written in efficiency environments. Conclusion: Practitioners and researchers should see efficiency management philosophies as important components of organizational contexts not to be glossed over. Communication is acknowledged as important to maintaining culture, but TPC knowledge and expertise are not necessarily recognized. The two documents show opportunities in these kinds of cultures to make work visible and establish value.",,,,,,,,,,,19,5,5,,,,,,,,,,,FEB,2017,64,1,,,,,27,37,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Killoran, JB","Killoran, John B.",,,"Is It About Us? Self-Representation of Technical Communication Consultants, Independent Contractors, and Companies on the Web",TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This article explores the purposes, character, and efficacy of about us information that technical communication contractors, consultants, and companies post on their business Web sites. Method: The study surveyed an international sample of 240 independent technical communicators who maintain Web sites to market their services, and interviewed a subset of survey respondents. Results: Overall, participants perceived their Web site's information about both their business and themselves to be somewhat useful in marketing their services, though they were also divided about which of these two types was the more useful. Regardless of whether their business comprised just themselves or a larger corporation with associates, some participants foregrounded their business's identity to build credibility whereas others foregrounded their own and their associates' personal identities to build rapport. Conclusion: About us information about a business and about its people can be usefully conceived as two distinct types of information, each deployed selectively to serve distinct purposes. Among the factors that may influence whether and how a technical communication business would foreground a corporate face or a personal face are not necessarily its corresponding corporate or personal status but instead the business's industry, its location internationally, its size, and the qualifications and gender of its people.",,,,,,,,,,,58,3,4,,,,,,,,,,,NOV,2012,59,4,,,,,267,285,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Wang, YQ; Wang, D","Wang, YiQin; wang, Dan",,,Cultural Contexts in Technical Communication: A Study of Chinese and German Automobile Literature,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,Explores how and why the German and Chinese cultures differ in the presentation and perception of technical information Presents a theoretical framework for technical communication across different cultures Provides guidelines to technical communicators in Sino-German technical communication and services.,,,,,,,,,,,36,12,12,,,,,,,,,,,FEB,2009,56,1,,,,,39,50,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Reyman, J","Reyman, Jessica",,,Rethinking plagiarism for technical communication,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,,,,,,,,,,,,17,9,9,,,,,,,,,,,FEB,2008,55,1,,,,,61,67,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Brady, A; Johnson, RR; Wallace, C","Brady, Ann; Johnson, Robert R.; Wallace, Charles",,,The intersecting futures of technical communication and software engineering: Forging an alliance of interdisciplinary work,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Provides background and explains why this project came to be and how it has progressed. Concludes with a framework for understanding the interdisciplinary exchange, its outcomes, and their relevance to academic programs and the field.",,,,,,,,,,,29,5,5,,,,,,,,,,,AUG,2006,53,3,,,,,317,325,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Moore, P; Kreth, M","Moore, P; Kreth, M",,,From Wordsmith to communication strategist: Heresthetic and political maneuvering in technical communication,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Propose William Riker's heresthetic, or structuring the world so your can win, as a strategizing method Suggests that this approach will better position technical communicators to succeed in the global information economy",,,,,,,,,,,59,7,7,,,,,,,,,,,AUG,2005,52,3,,,,,302,322,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Frith, J","Frith, Jordan",,,The Pedagogical Opportunities of Technical Standards: Learning from the Electronic Product Code,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: The goal of this article is to make the case that technical standards can be valuable educational tools for technical communication teachers. The article argues for the pedagogical value of standards through an examination of one particular standard: the Tag Data Standard, published by GS1. The analysis focuses on areas in which the document could be improved by technical communication practitioners and students. Method: The data for this article come from the 126-page Tag Data Standard. The standard was inductively analyzed using grounded theory and involved a second coder. The research question that guided this analysis was, How could this comprehensive standard be improved by trained technical communicators? The goal is to show how technical standards could be used to provide students with real-world texts to analyze and edit. Results: The data show the TDS could likely be improved if technical communication practitioners were more involved in the writing process to focus on issues of consistency, audience, and design. The article uses those results to show why standards could be valuable educational tools for teachers. Conclusion: Standards are a crucial form of technical communication. They are an example of how language shapes the material world. The analysis in this article shows that these crucial documents can be improved by skilled technical communicators and can serve multiple pedagogical goals, including showing students how documents shape materiality and providing students with comprehensive, real-world texts to work with and improve.",,,,,,,,,,,21,1,1,,,,,,,,,,,MAY,2020,67,2,,,,,42,53,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Walwema, J","Walwema, Josephine",,,A Values-Driven Approach to Technical Communication,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This paper examines the values and expertise associated with a kind of technical and professional communication (TPC) that connects an organization with individuals in the practice of their everyday lives. It is an attempt to engage institutional forms of workplace communication embodied in the values of GiveDirectly (GD) and associated with an emerging model of humanitarian aid. Method: This study analyzed the content of GD's website, specifically, its articulated values and how they fit into organizational knowledge and workplace writing. This analysis illuminates the type of communication and informs the nature of expertise made possible by a values approach to technical communication. Results: TPC can add value to humanitarian organizations by articulating the relationship among technology, the interface, and real (not imagined) user needs in their cultural contexts. Conclusion: Articulating values can mobilize the technical expertise necessary to revitalize humanitarian aid by placing human beings directly at the center of giving and receiving, thus demonstrating that what people in the Global South, often ranked low on the Human Development Index, need is a values-oriented approach to TPC.",,,,,,,,,,,122,1,1,,,,,,,,,,,FEB,2020,67,1,,,,,7,37,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Sentell, E","Sentell, Eric",,,Making Memories: Writing and Designing More Memorable Documents,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: This paper presents results from a primary study investigating the qualities of memorable documents and extrapolates principles for making documents more memorable, and thus more effective, for audiences. Method: I asked twenty subjects to walk down a high school hallway decorated with flyers and posters. I interviewed them immediately afterward and one week later to determine which information stuck over time as well as the subjects' self-reported reasons for recalling information. I then analyzed the most-often remembered documents to correlate the subjects' responses to the documents' content, design, style, etc. Results: Contrast, color, and imagery are inherently attention-catching and memorable. However, engaging the audience's collective self-schema, or identity, impacts memory even more powerfully by prompting readers to ascribe relevance to information and thus strive to remember it. Accordingly, I propose the following heuristic for creating more effective, mnemonic documents: (a) convey practical value; (b) use contrast, color, and imagery; (c) tap the familiar; (d) introduce unexpected elements; (e) build social currency; and (f) arouse emotion. Conclusion: Technical communicators can enhance their documents' effectiveness by using the proposed heuristic to make information more memorable for their readers.",,,,,,,,,,,54,3,3,,,,,,,,,,,MAY,2016,63,2,,,,,136,153,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Adhya, E","Adhya, Esha",,,Key Elements of an Effective Style Guide in the New Age,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Is the current style guide helping our business? Does it give us an edge over our competitors in reaching out to people? Company executives ask these questions before allocating budgets and resources for the documentation team. A style guide is a rule-driven document that sets the parameters for consistency and acceptability of all written materials produced by an organization. But, is that the sole function of a style guide? This paper lays out key fundamentals of how to make an effective style guide and explores its benefits. The article also illustrates the process of developing a style guide in detail while satisfying the needs of the organization. Method: To understand the best practices in the industry, a comparative analysis of five style guides of global software companies was done. Further, an online survey was administered to the technical writing community to collect more information. To get first-hand feedback from professionals, seven technical writers were interviewed and discussions in online technical writing forums were facilitated. Result: In addition to generating document consistency, 82% of the survey participants concurred that an effective style guide helps in creating a distinct brand image. Word usage, new terminology, document formatting and meeting needs of global audience are important topics that need constant attention during designing a style guide. Conclusion: A style guide will have a successful impact when it is supported by management, incorporates broader inputs from all its beneficiaries, is integrated into the day-to-day operations, and is updated periodically.",,,,,,,,,,,14,2,2,,,,,,,,,,,AUG,2015,62,3,,,,,183,192,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Everett, H","Everett, Heidi",,,Consistency & Contrast: A Content Analysis of Web Design Instruction,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: To investigate whether Web design rules historically are prescribed or whether designers are encouraged to think critically about how Web design choices relate to the complex situation of human-computer interaction. Specifically, this study explores how Web design rules have evolved since the mid-1990s and the influencing factors, if Web design instruction has dictated rules or encouraged designers to think critically about the design decisions being made, and, finally, if Web design principles are based on cognitive learning or visual communication theories, situated in best practices, or simply replicated. Method: Content analysis of a sampling of 40 textbooks and general-interest publications on Web design from 1995 to 2014. Results: Overall, Web design texts encourage designers to think critically about audiences. Changing technology clearly played a key role in the evolution of instruction. Finally, Web design instruction included some level of reference to cognitive learning theory or visual communication theory. While the appearance of theory-based word units in Web design texts coupled with discussion about technological capabilities and audience suggests Web design instruction does a solid job of situating design practices in theory, technology, and the complex situations in which the Web user operates, the depth of discussion varies greatly from text to text. Conclusion: The various treatments of theory in texts calls for further study to better understand which approach is more effective in communicating the theories as a whole as well as their application in Web design.",,,,,,,,,,,67,1,1,,,,,,,,,,,NOV,2014,61,4,,,,,245,256,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"van der Meij, H; van der Meij, J","van der Meij, Hans; van der Meij, Jan",,,Eight Guidelines for the Design of Instructional Videos for Software Training,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: Video has become a popular means for delivering how to information about a wide variety of software tasks. With video rapidly becoming a major instructional method, the question arises of their effectiveness for software training. This paper provides a set of eight guidelines for the construction of instructional videos for software training. Method: The guidelines present a concise view on how to design an instructional video for software training. They are based on a considerable body of research on how people process visual and verbal information and how to support these processes. Each guideline is described, illustrated, and supported with research findings from various disciplines. Results: The guidelines were tested in three consecutive empirical studies. In these studies a set of instructional videos for Word's formatting options were designed. The effects of the video instructions were compared with a paper tutorial (Van der Meij & Van der Meij, in preparation). We found that the video instructions yielded more favorable appraisals for motivation, higher skills proficiency immediately after training, and better skills retention after a one-week delay. Conclusions: The guidelines offer patterns that could further advance the theory and practice of the design of instructional videos for software training. A limitation of the study is that we concentrated on instructional video that serve a tutorial function. For video that function as a reference guide not all the guidelines are equally important, and also some new guidelines may be called for.",,,,,,,,,,,72,48,48,,,,,,,,,,,AUG,2013,60,3,,,,,205,228,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Light, I","Light, Israel",,,Technical Writing and Professional Status,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,,,,,,,,,,,,42,0,0,,,,,,,,,,,FEB,2012,59,1,,,,,E13,E21,,,,,,,,,,,,,,,,,View Full Record in Web of Science
J,"Melton, J","Melton, James",,,Organizational Training in Japan: A Case Study of the Spaces of Localization,TECHNICAL COMMUNICATION,,,,Article,,,,,,,,"Purpose: The case study described in this article explores a U. S. team's adaptation of organizational training for Japanese audiences, with a particular focus on the team's management of social and physical spaces in which the training took place. Method: Qualitative research was used in this study, specifically a case study based on ethnological methods including interviews, observations, and collection of relevant documents. Results: Localization of the social and physical spaces that surround organizational training spaces includes recognizing their potential function as an important site for professional communication, especially in relationship-oriented cultures such as Japan. Beyond the need for this conceptual understanding, localization of organizational training also requires the practical navigation of these spaces. Such facility depends on professional communicators' understanding of proxemics, or the human use of space in cultural contexts, as well as wise reliance on the guidance of cultural insiders. Conclusions: When professional communicators work to localize organizational training, they must include all relevant communication channels and work to actively manage the physical and social spaces through which relationships are built and information is passed. An awareness of how space is used as a means of communication across cultures is essential.",,,,,,,,,,,40,0,0,,,,,,,,,,,FEB,2011,58,1,,,,,19,33,,,,,,,,,,,,,,,,,View Full Record in Web of Science
